,fun,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,X
0,ours,872,904,736,608,629,635,554,502,460,450,435,454,415,331,302,248,277,238,218,204,124,146,588
1,pca,215,237,154,256,187,144,167,178,31,177,133,121,15,105,6,75,48,86,37,58,4,7,5
